"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","810","TC09 - Verify user without access is instructed to contact administrator","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","12300","TC10 - Verify QA sign-in flow can be initiated","chromium","2026-08-27","failed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","4328","TC04 - Verify QA sign-in option is displayed","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","2635","TC07 - Verify invalid email is rejected","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","23858","TC09 - Verify email field rejects empty value","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","4244","TC02 - Verify NyoHQ product description is displayed","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","4381","TC01 - Verify NyoHQ login page is displayed","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","556","TC05 - Verify user can select Male gender","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","1755","TC06 - Verify First Name is mandatory","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","23533","has title","chromium","2026-08-27","failed","2026-08-27","","example.spec.ts","",""
"","26422","TC04 - Verify user can enter valid email","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","26046","TC03 - Verify user can enter First Name and Last Name","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","1101","TC07 - Verify invalid login does not provide access","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","1344","TC10 - Verify complete registration form submission","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","4343","TC03 - Verify Continue with Google option is displayed","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","632","TC08 - Verify Last Name is mandatory","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","1114","TC05 - Verify supported account information is displayed","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","1002","TC08 - Verify login page does not allow blank authentication submission","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","19437","TC02 - Verify Automation Practice Form page loads","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
"","1014","TC06 - Verify unauthorized user cannot access NyoHQ","chromium","2026-08-27","passed","2026-08-27","NyoHQ - Login","example.spec.ts","",""
"","15508","TC01 - Verify DemoQA home page title","chromium","2026-08-27","failed","2026-08-27","DemoQA - Automation Practice Form","example.spec.ts","",""
